scenario,episode,algorithm,reward
domain_randomized_randomized_s2,100,DQN-Rand,136.65854620933533
domain_randomized_randomized_s2,101,DQN-Rand,211.7719123363495
domain_randomized_randomized_s2,102,DQN-Rand,314.9541445970535
domain_randomized_randomized_s2,103,DQN-Rand,148.4695965051651
domain_randomized_randomized_s2,104,DQN-Rand,402.75093626976013
domain_randomized_randomized_s2,105,DQN-Rand,302.21521377563477
domain_randomized_randomized_s2,106,DQN-Rand,392.284823179245
domain_randomized_randomized_s2,107,DQN-Rand,316.4731969833374
domain_randomized_randomized_s2,108,DQN-Rand,334.3959482908249
domain_randomized_randomized_s2,109,DQN-Rand,317.5801125764847
domain_randomized_randomized_s2,110,DQN-Rand,282.07983446121216
domain_randomized_randomized_s2,111,DQN-Rand,255.64423203468323
domain_randomized_randomized_s2,112,DQN-Rand,297.6749897003174
domain_randomized_randomized_s2,113,DQN-Rand,136.3703215122223
domain_randomized_randomized_s2,114,DQN-Rand,232.39490056037903
domain_randomized_randomized_s2,115,DQN-Rand,183.96216416358948
domain_randomized_randomized_s2,116,DQN-Rand,280.2389746904373
domain_randomized_randomized_s2,117,DQN-Rand,135.661454975605
domain_randomized_randomized_s2,118,DQN-Rand,363.88133907318115
domain_randomized_randomized_s2,119,DQN-Rand,119.14396119117737
domain_randomized_randomized_s2,120,DQN-Rand,292.4694526158273
domain_randomized_randomized_s2,121,DQN-Rand,69.75833511352539
domain_randomized_randomized_s2,122,DQN-Rand,217.57449913024902
domain_randomized_randomized_s2,123,DQN-Rand,43.46283632516861
domain_randomized_randomized_s2,124,DQN-Rand,316.1757345199585
domain_randomized_randomized_s2,125,DQN-Rand,177.15366768836975
domain_randomized_randomized_s2,126,DQN-Rand,218.93562197685242
domain_randomized_randomized_s2,127,DQN-Rand,9.21772363781929
domain_randomized_randomized_s2,128,DQN-Rand,369.2717730998993
domain_randomized_randomized_s2,129,DQN-Rand,336.6597239971161
domain_randomized_randomized_s2,130,DQN-Rand,12.839016497135162
domain_randomized_randomized_s2,131,DQN-Rand,287.21795749664307
domain_randomized_randomized_s2,132,DQN-Rand,291.92011272907257
domain_randomized_randomized_s2,133,DQN-Rand,337.5365514755249
domain_randomized_randomized_s2,134,DQN-Rand,22.653856560587883
domain_randomized_randomized_s2,135,DQN-Rand,79.18587625026703
domain_randomized_randomized_s2,136,DQN-Rand,287.03640723228455
domain_randomized_randomized_s2,137,DQN-Rand,243.78136110305786
domain_randomized_randomized_s2,138,DQN-Rand,279.50714978575706
domain_randomized_randomized_s2,139,DQN-Rand,-49.86635084450245
domain_randomized_randomized_s2,140,DQN-Rand,106.87886387109756
domain_randomized_randomized_s2,141,DQN-Rand,362.9233775138855
domain_randomized_randomized_s2,142,DQN-Rand,109.46861696243286
domain_randomized_randomized_s2,143,DQN-Rand,231.5692276954651
domain_randomized_randomized_s2,144,DQN-Rand,324.2524048089981
domain_randomized_randomized_s2,145,DQN-Rand,124.0144844353199
domain_randomized_randomized_s2,146,DQN-Rand,176.072514295578
domain_randomized_randomized_s2,147,DQN-Rand,-46.65560021996498
domain_randomized_randomized_s2,148,DQN-Rand,246.05590450763702
domain_randomized_randomized_s2,149,DQN-Rand,-64.3775485754013
domain_randomized_randomized_s2,150,DQN-Rand,258.8083220720291
domain_randomized_randomized_s2,151,DQN-Rand,308.54803028702736
domain_randomized_randomized_s2,152,DQN-Rand,-54.74304160475731
domain_randomized_randomized_s2,153,DQN-Rand,290.58667945861816
domain_randomized_randomized_s2,154,DQN-Rand,312.80207443237305
domain_randomized_randomized_s2,155,DQN-Rand,140.86854672431946
domain_randomized_randomized_s2,156,DQN-Rand,61.272021263837814
domain_randomized_randomized_s2,157,DQN-Rand,16.865491166710854
domain_randomized_randomized_s2,158,DQN-Rand,182.32310903072357
domain_randomized_randomized_s2,159,DQN-Rand,212.8317790031433
domain_randomized_randomized_s2,160,DQN-Rand,138.47152709960938
domain_randomized_randomized_s2,161,DQN-Rand,351.37211072444916
domain_randomized_randomized_s2,162,DQN-Rand,252.93440735340118
domain_randomized_randomized_s2,163,DQN-Rand,277.81939125061035
domain_randomized_randomized_s2,164,DQN-Rand,275.13805985450745
domain_randomized_randomized_s2,165,DQN-Rand,255.163836479187
domain_randomized_randomized_s2,166,DQN-Rand,204.86236095428467
domain_randomized_randomized_s2,167,DQN-Rand,233.967513859272
domain_randomized_randomized_s2,168,DQN-Rand,109.1859992146492
domain_randomized_randomized_s2,169,DQN-Rand,147.89411157369614
domain_randomized_randomized_s2,170,DQN-Rand,211.48567485809326
domain_randomized_randomized_s2,171,DQN-Rand,143.9944177865982
domain_randomized_randomized_s2,172,DQN-Rand,226.23245930671692
domain_randomized_randomized_s2,173,DQN-Rand,285.8747426867485
domain_randomized_randomized_s2,174,DQN-Rand,219.79246068000793
domain_randomized_randomized_s2,175,DQN-Rand,216.46511793136597
domain_randomized_randomized_s2,176,DQN-Rand,339.3349498510361
domain_randomized_randomized_s2,177,DQN-Rand,374.0035936832428
domain_randomized_randomized_s2,178,DQN-Rand,324.5964469909668
domain_randomized_randomized_s2,179,DQN-Rand,425.0866153240204
domain_randomized_randomized_s2,180,DQN-Rand,-45.85291230678558
domain_randomized_randomized_s2,181,DQN-Rand,212.35385942459106
domain_randomized_randomized_s2,182,DQN-Rand,80.0783953666687
domain_randomized_randomized_s2,183,DQN-Rand,371.7233486175537
domain_randomized_randomized_s2,184,DQN-Rand,342.548255443573
domain_randomized_randomized_s2,185,DQN-Rand,389.94886219501495
domain_randomized_randomized_s2,186,DQN-Rand,362.6271357536316
domain_randomized_randomized_s2,187,DQN-Rand,210.26533913612366
domain_randomized_randomized_s2,188,DQN-Rand,300.8591910004616
domain_randomized_randomized_s2,189,DQN-Rand,248.37265014648438
domain_randomized_randomized_s2,190,DQN-Rand,229.14621126651764
domain_randomized_randomized_s2,191,DQN-Rand,80.65517282485962
domain_randomized_randomized_s2,192,DQN-Rand,320.300678730011
domain_randomized_randomized_s2,193,DQN-Rand,346.94846630096436
domain_randomized_randomized_s2,194,DQN-Rand,175.54692614078522
domain_randomized_randomized_s2,195,DQN-Rand,176.10832166671753
domain_randomized_randomized_s2,196,DQN-Rand,26.97710108757019
domain_randomized_randomized_s2,197,DQN-Rand,263.5311825275421
domain_randomized_randomized_s2,198,DQN-Rand,355.92594492435455
domain_randomized_randomized_s2,199,DQN-Rand,297.25323390960693
domain_randomized_randomized_s2,200,DQN-Rand,254.45090508460999
domain_randomized_randomized_s2,201,DQN-Rand,104.06412708759308
domain_randomized_randomized_s2,202,DQN-Rand,252.63135874271393
domain_randomized_randomized_s2,203,DQN-Rand,-46.077993631362915
domain_randomized_randomized_s2,204,DQN-Rand,147.8480976819992
domain_randomized_randomized_s2,205,DQN-Rand,134.75698256492615
domain_randomized_randomized_s2,206,DQN-Rand,282.2974939197302
domain_randomized_randomized_s2,207,DQN-Rand,217.47129368782043
domain_randomized_randomized_s2,208,DQN-Rand,62.9732626080513
domain_randomized_randomized_s2,209,DQN-Rand,282.5122935771942
domain_randomized_randomized_s2,210,DQN-Rand,240.11846482753754
domain_randomized_randomized_s2,211,DQN-Rand,275.84926211833954
domain_randomized_randomized_s2,212,DQN-Rand,133.32163685560226
domain_randomized_randomized_s2,213,DQN-Rand,334.9592002630234
domain_randomized_randomized_s2,214,DQN-Rand,135.38427421450615
domain_randomized_randomized_s2,215,DQN-Rand,96.87362309545279
domain_randomized_randomized_s2,216,DQN-Rand,136.9079920053482
domain_randomized_randomized_s2,217,DQN-Rand,234.5315227508545
domain_randomized_randomized_s2,218,DQN-Rand,123.7549454420805
domain_randomized_randomized_s2,219,DQN-Rand,363.5908722281456
domain_randomized_randomized_s2,220,DQN-Rand,212.12851002812386
domain_randomized_randomized_s2,221,DQN-Rand,188.72179353237152
domain_randomized_randomized_s2,222,DQN-Rand,84.24083399772644
domain_randomized_randomized_s2,223,DQN-Rand,71.41651582717896
domain_randomized_randomized_s2,224,DQN-Rand,120.48730250634253
domain_randomized_randomized_s2,225,DQN-Rand,8.369774639606476
domain_randomized_randomized_s2,226,DQN-Rand,287.9808809161186
domain_randomized_randomized_s2,227,DQN-Rand,210.01051247119904
domain_randomized_randomized_s2,228,DQN-Rand,292.21830868627876
domain_randomized_randomized_s2,229,DQN-Rand,-5.42294180393219
domain_randomized_randomized_s2,230,DQN-Rand,-86.93373481743038
domain_randomized_randomized_s2,231,DQN-Rand,83.30404002964497
domain_randomized_randomized_s2,232,DQN-Rand,178.45582270622253
domain_randomized_randomized_s2,233,DQN-Rand,84.5765392780304
domain_randomized_randomized_s2,234,DQN-Rand,335.5671136379242
domain_randomized_randomized_s2,235,DQN-Rand,437.38588857650757
domain_randomized_randomized_s2,236,DQN-Rand,97.16130566596985
domain_randomized_randomized_s2,237,DQN-Rand,334.43978571891785
domain_randomized_randomized_s2,238,DQN-Rand,179.33388233184814
domain_randomized_randomized_s2,239,DQN-Rand,125.66656923294067
domain_randomized_randomized_s2,240,DQN-Rand,86.65470629930496
domain_randomized_randomized_s2,241,DQN-Rand,307.59905099868774
domain_randomized_randomized_s2,242,DQN-Rand,275.946164727211
domain_randomized_randomized_s2,243,DQN-Rand,334.65945315361023
domain_randomized_randomized_s2,244,DQN-Rand,143.9191724061966
domain_randomized_randomized_s2,245,DQN-Rand,247.0946922302246
domain_randomized_randomized_s2,246,DQN-Rand,264.17986907064915
domain_randomized_randomized_s2,247,DQN-Rand,272.2387089729309
domain_randomized_randomized_s2,248,DQN-Rand,207.34931540489197
domain_randomized_randomized_s2,249,DQN-Rand,217.0426645129919
domain_randomized_randomized_s2,250,DQN-Rand,189.6765342950821
domain_randomized_randomized_s2,251,DQN-Rand,-13.422950506210327
domain_randomized_randomized_s2,252,DQN-Rand,99.98902130126953
domain_randomized_randomized_s2,253,DQN-Rand,365.4899660348892
domain_randomized_randomized_s2,254,DQN-Rand,330.0206844806671
domain_randomized_randomized_s2,255,DQN-Rand,135.5451456308365
domain_randomized_randomized_s2,256,DQN-Rand,324.4353747367859
domain_randomized_randomized_s2,257,DQN-Rand,273.54980993270874
