setting,scenario,method,pass_rate,mean_energy,mean_path_length
offline_full_map,baseline,A* risk-aware,0.8333333333333334,79.97016069216572,55.57503602129437
offline_full_map,baseline,A* shortest,0.3333333333333333,87.9574293723639,46.49919907732863
offline_full_map,baseline,BFS,0.3,88.02149948966529,46.19544246492169
offline_full_map,baseline,DFS,0.36666666666666664,88.0200601073882,46.31537512313658
offline_full_map,baseline,DQN,0.4,85.70421902959991,50.22379985496612
offline_full_map,baseline,Greedy,0.43333333333333335,86.73998164041812,50.00647421297796
offline_full_map,baseline,PPO,0.4,86.98448431653166,52.8524939539361
offline_full_map,baseline,Random,0.0,91.41731789495849,54.357469897225
offline_full_map,complex_moon,A* risk-aware,0.9333333333333333,93.01906859795847,60.3783626643514
offline_full_map,complex_moon,A* shortest,0.3,105.95572072518256,46.1522269797123
offline_full_map,complex_moon,BFS,0.3333333333333333,105.77684654153278,46.42796291100037
offline_full_map,complex_moon,DFS,0.26666666666666666,106.68646822696877,45.406474212977955
offline_full_map,complex_moon,DQN,0.2,104.52300046137971,51.42251078938237
offline_full_map,complex_moon,Greedy,0.26666666666666666,105.03784697027386,48.31963679893185
offline_full_map,complex_moon,PPO,0.3333333333333333,103.8082793136887,52.29898987322333
offline_full_map,complex_moon,Random,0.0,109.55184104897204,54.93124334507822
offline_full_map,crater_field,A* risk-aware,0.5333333333333333,82.91626849438204,60.202610883458874
offline_full_map,crater_field,A* shortest,0.13333333333333333,90.22740261215746,45.18752279648049
offline_full_map,crater_field,BFS,0.1,90.87657649908964,44.66995906532779
offline_full_map,crater_field,DFS,0.16666666666666666,90.39587235040575,43.742751271463575
offline_full_map,crater_field,DQN,0.13333333333333333,88.60437683635931,50.31997350785741
offline_full_map,crater_field,Greedy,0.16666666666666666,90.3732917076788,47.63442515939505
offline_full_map,crater_field,PPO,0.16666666666666666,89.26650451223367,51.19824672067045
offline_full_map,crater_field,Random,0.0,91.39548189707462,57.01923035530453
offline_full_map,low_battery_bad_case,A* risk-aware,0.9333333333333333,97.51186734362831,60.08844305699098
offline_full_map,low_battery_bad_case,A* shortest,0.4,109.3741786399557,48.42207546069581
offline_full_map,low_battery_bad_case,BFS,0.43333333333333335,109.82819770671335,48.79209229614208
offline_full_map,low_battery_bad_case,DFS,0.36666666666666664,109.70617557916495,47.688742127362474
offline_full_map,low_battery_bad_case,DQN,0.36666666666666664,107.09619600753118,54.6393313679822
offline_full_map,low_battery_bad_case,Greedy,0.5666666666666667,106.295691521736,52.270365508955116
offline_full_map,low_battery_bad_case,PPO,0.2,107.8745755610735,54.563694056455134
offline_full_map,low_battery_bad_case,Random,0.0,113.66274681333627,60.43009374889801
offline_full_map,shadow_comm,A* risk-aware,1.0,92.58617034076362,58.24708268196061
offline_full_map,shadow_comm,A* shortest,0.6333333333333333,110.11820406270859,50.78579840221018
