scenario,episode,algorithm,reward
domain_randomized_randomized,110,DQN-Rand,367.5346646308899
domain_randomized_randomized,111,DQN-Rand,185.43246293067932
domain_randomized_randomized,112,DQN-Rand,288.4626587629318
domain_randomized_randomized,113,DQN-Rand,-47.680725157260895
domain_randomized_randomized,114,DQN-Rand,245.94633042812347
domain_randomized_randomized,115,DQN-Rand,295.6536102294922
domain_randomized_randomized,116,DQN-Rand,242.65082693099976
domain_randomized_randomized,117,DQN-Rand,157.3237075805664
domain_randomized_randomized,118,DQN-Rand,177.35367120802402
domain_randomized_randomized,119,DQN-Rand,343.5642502307892
domain_randomized_randomized,120,DQN-Rand,59.23243383318186
domain_randomized_randomized,121,DQN-Rand,240.47668530791998
domain_randomized_randomized,122,DQN-Rand,275.43408703804016
domain_randomized_randomized,123,DQN-Rand,208.44049793481827
domain_randomized_randomized,124,DQN-Rand,132.8820960521698
domain_randomized_randomized,125,DQN-Rand,275.5460214614868
domain_randomized_randomized,126,DQN-Rand,238.89238166809082
domain_randomized_randomized,127,DQN-Rand,357.1077415943146
domain_randomized_randomized,128,DQN-Rand,-20.338747203350067
domain_randomized_randomized,129,DQN-Rand,102.93846845626831
domain_randomized_randomized,130,DQN-Rand,328.2663941383362
domain_randomized_randomized,131,DQN-Rand,-1.9841264486312866
domain_randomized_randomized,132,DQN-Rand,363.16753751039505
domain_randomized_randomized,133,DQN-Rand,408.5296006202698
domain_randomized_randomized,134,DQN-Rand,297.38884973526
domain_randomized_randomized,135,DQN-Rand,234.9370996952057
domain_randomized_randomized,136,DQN-Rand,187.4255882203579
domain_randomized_randomized,137,DQN-Rand,352.20365953445435
domain_randomized_randomized,138,DQN-Rand,208.38176369667053
domain_randomized_randomized,139,DQN-Rand,10.098124980926514
domain_randomized_randomized,140,DQN-Rand,117.77740317583084
domain_randomized_randomized,141,DQN-Rand,150.3724620938301
domain_randomized_randomized,142,DQN-Rand,300.3843207359314
domain_randomized_randomized,143,DQN-Rand,91.11864852905273
domain_randomized_randomized,144,DQN-Rand,280.64501824229956
