scenario,scenario_title,method,path_found,energy_feasible,task_success,battery_capacity,energy_margin,path_length,total_cost,energy,terrain_risk,shadow_ratio,comm_blackout_ratio,avg_slope,replan_count,collision_fail,online_runtime_sec,known_cell_ratio,sensing_radius
baseline,Base Plain With Sparse Rocks,Random-online,0,0,0,90.0,-0.6778259977373011,52.38477631085023,147.89646120009476,90.6778259977373,12.683420016023511,0.1875,0.5625,0.19340458366715652,47,0,0.00933880778029561,0.2651851851851852,5
baseline,Base Plain With Sparse Rocks,DFS-online,1,1,1,90.0,6.984207391335033,50.49747468305832,145.20537302414508,83.01579260866497,17.51103971969198,0.0,0.5945945945945946,0.22056864107275614,36,0,0.016047684010118246,0.2982716049382716,5
baseline,Base Plain With Sparse Rocks,BFS-online,1,1,1,90.0,5.180554408215443,50.497474683058314,149.02795179236037,84.81944559178456,19.181209265340332,0.0,0.5675675675675675,0.24273538554973878,36,0,0.24219442717731,0.29530864197530865,5
baseline,Base Plain With Sparse Rocks,Greedy-online,1,1,1,90.0,3.6602721361448403,54.597979746446654,135.894685955584,86.33972786385516,8.809291768440303,0.13636363636363635,0.6590909090909091,0.20021117655546145,43,0,0.03869711793959141,0.3145679012345679,5
baseline,Base Plain With Sparse Rocks,A* shortest-online,1,1,1,90.0,6.9032762773133385,50.49747468305832,145.31791352818678,83.09672372268666,17.542649109712,0.0,0.5945945945945946,0.221422948911135,36,0,0.03619687492027879,0.2958024691358025,5
baseline,Base Plain With Sparse Rocks,A* risk-aware-online,1,1,1,90.0,8.444106847441532,51.08326112068522,145.64730446256195,81.55589315255847,17.800422483683366,0.0,0.5789473684210527,0.20001111799166751,37,0,1.3348708502016962,0.2967901234567901,5
baseline,Base Plain With Sparse Rocks,DQN-online,1,1,1,90.0,10.110769107598983,54.012193308819754,125.15174589502922,79.88923089240102,5.998088534416347,0.11627906976744186,0.627906976744186,0.1394904310329383,42,0,0.04940327303484082,0.3091358024691358,5
baseline,Base Plain With Sparse Rocks,PPO-online,1,1,1,90.0,2.799048765818881,55.76955262170046,138.82232232893412,87.20095123418112,8.837662357403355,0.10869565217391304,0.6521739130434783,0.19212309472615988,45,0,0.06773871183395386,0.31555555555555553,5
crater_field,Dense Crater Field,Random-online,0,0,0,90.0,-0.24102108621205787,49.04163056034261,196.7402979038207,90.24102108621206,29.697968143627303,0.0,1.0,0.2557667010145885,42,0,0.010032790247350931,0.2528395061728395,5
crater_field,Dense Crater Field,DFS-online,1,0,0,90.0,-0.6078381902386525,51.66904755831213,171.90865885532995,90.60783819023865,19.809605829494867,0.07692307692307693,1.0,0.24640014947422736,38,0,0.018108348827809095,0.3017283950617284,5
crater_field,Dense Crater Field,BFS-online,1,0,0,90.0,-1.9697423080611856,52.25483399593902,177.32352148027752,91.96974230806119,21.54256433661984,0.125,1.0,0.26231410841549596,39,0,0.27360508497804403,0.3017283950617284,5
crater_field,Dense Crater Field,Greedy-online,1,1,1,90.0,0.19164579579026508,54.01219330881975,174.77105420526587,89.80835420420973,19.291485165459623,0.06976744186046512,1.0,0.2311973294292937,42,0,0.041121114045381546,0.31160493827160496,5
crater_field,Dense Crater Field,A* shortest-online,1,0,0,90.0,-0.7395748210846023,51.66904755831213,172.07442472909565,90.7395748210846,19.843635072414646,0.07692307692307693,1.0,0.24727269416447803,38,0,0.06690384168177843,0.2992592592592593,5
crater_field,Dense Crater Field,A* risk-aware-online,1,1,1,90.0,4.920132227138382,52.840620433565945,165.4465448171014,85.07986777286162,17.295462208643286,0.07317073170731707,1.0,0.1937917611864216,40,0,1.406458908226341,0.30666666666666664,5
crater_field,Dense Crater Field,DQN-online,1,1,1,90.0,0.8996789949320885,55.76955262170046,182.8024846464599,89.10032100506791,21.125416300961195,0.06521739130434782,1.0,0.20055252828176506,45,0,0.04696310684084892,0.3160493827160494,5
crater_field,Dense Crater Field,PPO-online,0,1,0,90.0,1.4329730921390649,55.38477631085024,188.27399857638602,88.56702690786094,21.649309446747544,0.13725490196078433,1.0,0.19116293032838322,51,0,0.07390571804717183,0.30814814814814817,5
slope_ridges,Highland Ridges And Slopes,Random-online,0,0,0,92.0,-2.5122829029683373,58.21320343559643,183.4782114544049,94.51228290296834,21.88093395717612,0.0,0.7169811320754716,0.2364327161731344,52,0,0.007989988662302494,0.2706172839506173,5
slope_ridges,Highland Ridges And Slopes,DFS-online,0,0,0,92.0,-2.657863832082768,53.7401153701776,168.00142775232703,94.65786383208277,22.701226509728826,0.0,0.5641025641025641,0.27695452589048286,38,0,0.01627389481291175,0.24444444444444444,5
slope_ridges,Highland Ridges And Slopes,BFS-online,1,0,0,92.0,-0.3641120615021265,52.840620433565945,158.27553378649804,92.36411206150213,19.631593301705784,0.04878048780487805,0.5853658536585366,0.2715022756513606,40,0,0.2574404082261026,0.30320987654320986,5
slope_ridges,Highland Ridges And Slopes,Greedy-online,1,1,1,92.0,3.978623092281836,51.66904755831213,146.44936698188312,88.02137690771816,16.318879077874556,0.02564102564102564,0.5641025641025641,0.24407382250960394,38,0,0.03535817703232169,0.3017283950617284,5
slope_ridges,Highland Ridges And Slopes,A* shortest-online,1,1,1,92.0,0.994310985553156,51.66904755831213,154.25107789204404,91.00568901444684,19.37398574484781,0.0,0.5641025641025641,0.27882014730379,38,0,0.03888529585674405,0.2992592592592593,5
slope_ridges,Highland Ridges And Slopes,A* risk-aware-online,1,1,1,92.0,0.355490461708186,53.08326112068522,151.76985902508204,91.64450953829181,16.984308578020592,0.05,0.575,0.2546077144505149,39,0,1.607285370118916,0.305679012345679,5
slope_ridges,Highland Ridges And Slopes,DQN-online,0,1,0,92.0,0.30835646313502707,52.01219330881976,162.51951740327297,91.69164353686497,21.174052124559363,0.0,0.5853658536585366,0.26765980791608196,41,0,0.042537480127066374,0.3037037037037037,5
slope_ridges,Highland Ridges And Slopes,PPO-online,1,1,1,92.0,1.1731881527130525,55.76955262170047,165.33647890066922,90.82681184728695,21.38184846050074,0.021739130434782608,0.5434782608695652,0.2246054013152335,45,0,0.0829753433354199,0.31308641975308643,5
shadow_comm,Polar Shadow And Communication Gaps,Random-online,0,0,0,118.0,-1.0298512051681996,50.2842712474619,205.25515004229348,119.0298512051682,19.76067108335861,0.046511627906976744,1.0,0.22234118798508395,42,0,0.006470604334026575,0.26222222222222225,5
shadow_comm,Polar Shadow And Communication Gaps,DFS-online,0,0,0,118.0,-2.7583024484228105,46.42640687119285,198.54940092859212,120.75830244842281,21.666617714133466,0.11428571428571428,1.0,0.32761764897524187,34,0,0.014938000123947859,0.2706172839506173,5
shadow_comm,Polar Shadow And Communication Gaps,BFS-online,0,0,0,118.0,-1.5464917771967208,47.597979746446654,202.0472304802158,119.54649177719672,22.756257936983268,0.05405405405405406,1.0,0.3163853496481964,36,0,0.26301630260422826,0.2725925925925926,5
shadow_comm,Polar Shadow And Communication Gaps,Greedy-online,0,0,0,118.0,-0.47934367071925976,54.112698372208094,226.7744140907455,118.47934367071926,30.730589653990346,0.043478260869565216,1.0,0.316969340304138,45,0,0.042139727622270584,0.23555555555555555,5
shadow_comm,Polar Shadow And Communication Gaps,A* shortest-online,0,0,0,118.0,-4.050703719388153,47.01219330881976,203.54916637318738,122.05070371938815,23.05398188776335,0.1111111111111111,1.0,0.3334439413267597,35,0,0.04205541778355837,0.27111111111111114,5
shadow_comm,Polar Shadow And Communication Gaps,A* risk-aware-online,0,0,0,118.0,-0.11492728036178335,53.840620433565945,193.3141324849072,118.11492728036178,15.07472443850962,0.07142857142857142,1.0,0.21725534377403855,41,0,1.250313509721309,0.3002469135802469,5
shadow_comm,Polar Shadow And Communication Gaps,DQN-online,0,1,0,118.0,0.3413275558799711,55.94112549695426,204.6434123904154,117.65867244412003,18.320259180259566,0.06382978723404255,1.0,0.22702679106935242,47,0,0.05059747910127044,0.3125925925925926,5
shadow_comm,Polar Shadow And Communication Gaps,PPO-online,1,1,1,118.0,0.7516302454140913,62.79898987322332,188.2054034499702,117.24836975458591,9.479295169672321,0.0,0.6896551724137931,0.16343612361504,57,0,0.08254286972805858,0.34617283950617284,5
complex_moon,Integrated Lunar Industrial Terrain,Random-online,0,0,0,108.0,-1.3045773067401996,48.4558441227157,194.1705903942539,109.3045773067402,21.955138642638367,0.0,1.0,0.3001223486342467,41,0,0.0069921319372951984,0.22962962962962963,5
complex_moon,Integrated Lunar Industrial Terrain,DFS-online,0,0,0,108.0,-0.6131735053629086,52.59797974644666,201.43670082904674,108.61317350536291,24.421732994633686,0.0,1.0,0.2778984046341354,41,0,0.018303473945707083,0.30419753086419754,5
