scenario,scenario_title,method,path_found,energy_feasible,task_success,battery_capacity,energy_margin,path_length,total_cost,energy,terrain_risk,shadow_ratio,comm_blackout_ratio,avg_slope
baseline,Base Plain With Sparse Rocks,Random,0,0,0,90.0,-2.2710514883087,70.74011537017759,125.99713714485745,92.2710514883087,7.314904558777066,0.0,0.10714285714285714,0.1306232956924476
baseline,Base Plain With Sparse Rocks,DFS,1,1,1,90.0,6.984207391335033,50.49747468305832,145.20537302414508,83.01579260866497,17.51103971969198,0.0,0.5945945945945946,0.22056864107275614
baseline,Base Plain With Sparse Rocks,BFS,1,1,1,90.0,5.180554408215443,50.497474683058314,149.02795179236037,84.81944559178456,19.181209265340332,0.0,0.5675675675675675,0.24273538554973878
baseline,Base Plain With Sparse Rocks,Greedy,1,1,1,90.0,3.6602721361448403,54.597979746446654,135.894685955584,86.33972786385516,8.809291768440303,0.13636363636363635,0.6590909090909091,0.20021117655546145
baseline,Base Plain With Sparse Rocks,A* shortest,1,1,1,90.0,6.9032762773133385,50.49747468305832,145.31791352818678,83.09672372268666,17.542649109712,0.0,0.5945945945945946,0.221422948911135
baseline,Base Plain With Sparse Rocks,A* risk-aware,1,1,1,90.0,11.444723818745814,54.012193308819754,122.07800112504641,78.55527618125419,5.342343661190337,0.13953488372093023,0.5813953488372093,0.12424055026024039
baseline,Base Plain With Sparse Rocks,DQN,1,1,1,90.0,3.6602721361448403,54.597979746446654,135.894685955584,86.33972786385516,8.809291768440303,0.13636363636363635,0.6590909090909091,0.20021117655546145
baseline,Base Plain With Sparse Rocks,PPO,1,1,1,90.0,3.6602721361448403,54.597979746446654,135.894685955584,86.33972786385516,8.809291768440303,0.13636363636363635,0.6590909090909091,0.20021117655546145
crater_field,Dense Crater Field,Random,0,0,0,90.0,-0.22169491196353874,57.284271247461895,212.5972539995333,90.22169491196354,33.32434425197329,0.0,1.0,0.2414868850394657
crater_field,Dense Crater Field,DFS,1,0,0,90.0,-0.6078381902386525,51.66904755831213,171.90865885532995,90.60783819023865,19.809605829494867,0.07692307692307693,1.0,0.24640014947422736
